=~=~=~=~=~=~=~=~=~=~=~= MobaXterm log 2022.09.28 14:57:40 =~=~=~=~=~=~=~=~=~=~=~=

Password:
Login incorrect
login: root
Password:
No home directory.
Logging in with home = "/".
# slog2info -w | grep UpdateService
Jan 01 00:00:14.922          UpdateService.2781347                           0  -----ONLINE-----
Jan 01 00:21:31.639        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:21:31.639        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:21:31.639        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:21:36.641        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:21:36.661        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:21:36.661        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:21:36.661        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:21:41.662        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:21:41.693        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:21:41.693        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:21:41.693        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:21:46.694        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:21:46.717        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:21:46.717        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:21:46.717        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:21:51.718        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:21:51.737        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:21:51.737        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:21:51.737        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:21:56.738        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:21:56.758        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:21:56.758        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:21:56.758        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:22:01.760        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:22:01.782        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:22:01.782        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:22:01.782        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:22:06.783        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:22:06.812        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:22:06.812        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:22:06.812        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:22:11.814        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:22:11.835        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:22:11.835        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:22:11.835        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:22:16.837        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:22:16.858        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:22:16.858        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:22:16.858        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:22:21.859        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:22:21.883        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:22:21.884        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:22:21.884        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:22:26.885        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:22:26.910        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:22:26.910        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:22:26.910        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:22:31.912        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:22:31.933        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:22:31.933        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:22:31.933        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:22:36.935        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:22:36.955        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:22:36.955        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:22:36.955        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:22:41.958        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:22:41.981        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:22:41.981        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:22:41.981        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:22:46.983        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:22:46.999        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:22:46.999        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:22:46.999        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:22:52.000        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:22:52.021        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:22:52.022        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:22:52.022        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:22:57.023        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:22:57.045        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 137
Jan 01 00:22:57.045        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [137]V
Jan 01 00:22:57.045        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 137
Jan 01 00:23:02.046        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:23:02.067        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:23:02.068        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:23:02.068        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:23:07.070        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:23:07.093        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:23:07.093        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:23:07.093        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:23:12.094        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:23:12.121        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:23:12.121        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:23:12.121        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:23:17.123        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:23:17.141        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:23:17.141        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:23:17.141        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:23:22.142        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:23:22.166        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:23:22.166        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:23:22.166        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:23:27.168        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:23:27.189        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:23:27.189        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:23:27.189        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:23:32.191        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:23:32.209        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:23:32.209        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:23:32.209        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:23:37.211        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:23:37.232        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:23:37.232        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:23:37.232        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:23:42.234        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:23:42.253        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:23:42.253        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:23:42.254        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:23:47.255        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:23:47.278        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:23:47.278        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:23:47.278        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:23:52.279        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:23:52.309        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:23:52.309        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:23:52.309        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:23:57.311        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:23:57.337        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:23:57.337        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:23:57.337        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:24:02.338        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:24:02.369        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:24:02.369        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:24:02.369        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:24:07.371        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:24:07.399        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:24:07.399        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:24:07.399        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:24:12.401        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:24:12.423        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:24:12.423        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:24:12.423        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:24:17.425        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:24:17.445        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
